question,answer
do you know how to get to koh rong?,you can take a speed ferry from sihanoukville
give me info on what to do in kampot today.,visit pepper farms and take a river cruise
please tell me where is bokor mountain?,it is a cool hill station near kampot city
tell me something about is kep famous for food for me.,yes kep is famous for fresh blue crab with pepper
any idea where what is rabbit island thank you.,koh tonsay is a quiet island near kep
search for where is otres beach today.,it is a quieter beach area in sihanoukville
i am curious about is sihanoukville good for islands for me.,yes it is the main gateway to koh rong and koh rong samloem
could you explain what is kampot pepper thank you.,it is world famous high quality pepper from cambodia
i am curious about can i swim in sihanoukville immediately.,"yes, victory beach and sokha beach are popular spots"
find where can i see dolphins right now.,you can see freshwater dolphins in kratie
what about what to do in mondulkiri for me.,visit elephant sanctuaries and busra waterfall
give me info on is mondulkiri cold?,it is much cooler than the rest of cambodia
give me details on where is yeak laom lake?,it is a volcanic lake in rattanakiri province
do you know what to see in kratie right now.,the irrawaddy dolphins and kampi rapids
tell me where is preah vihear temple thanks.,it is on a cliff in the north near the thai border
i want to know is sambor prei kuk old today.,yes it is a pre-angkorian site in kampong thom
could you explain what is battambang known for thank you.,it is famous for the bamboo train and caves
hey where is the killing caves specifically.,they are located on phnom sampeau in battambang
please tell me can i see bats in battambang thanks.,yes millions of bats fly out of caves at sunset
can you tell me what is phnom chi if you can.,it is a mountain for hiking in kampong thom
where is kapi falls if you can.,it is a scenic spot in mondulkiri
tell me something about best time to visit cambodia?,november to february is the best time
info on what currency is used if you can.,the currency is riel and us dollar
do people speak english if you can.,many people speak basic english in tourist areas
teach me about what food should i try if you can.,you should try amok and lok lak
tell me is cambodia safe if you can.,it is generally safe for tourists
briefly explain how to travel in cambodia thank you.,you can use tuk tuk or taxi
any idea where do i need a visa for me.,most tourists need a visa or an e-visa
could you explain what is the water festival,bon om touk is a festival with boat racing
teach me about when is khmer new year,it is usually celebrated in mid-april
give me details on is the water safe to drink right now.,it is better to drink bottled or filtered water
briefly explain how to say hello in khmer if you can.,you say sarsday or chum reap suor
tell me how to say thank you,you say orkun in khmer
teach me about is there grab in cambodia please.,yes grab and passapp are widely used
do you know what is the local beer specifically.,angkor beer and cambodia beer are popular
info on can i wear shorts in temples today.,you should cover your knees and shoulders
give me info on is cambodia expensive?,it is very affordable for most travelers
can you tell me what is the rainy season right now.,it runs from may to october
tell me internet in cambodia please.,wifi is common and local sim cards are cheap
please tell me what is the time zone please.,cambodia is gmt plus seven
can you tell me where is angkor wat,angkor wat is in siem reap cambodia
hey what is angkor wat if you can.,it is a famous temple in cambodia
any idea where what to do in siem reap if you can.,you can visit temples and night market
info on where is bayon temple thank you.,bayon temple is in the center of angkor thom
can you explain what is ta prohm for me.,it is the jungle temple with giant trees in siem reap
i want to know how much is angkor pass today.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
hey where to watch sunset in siem reap if you can.,phnom bakheng is the most popular spot for sunset
can you explain what is pub street please.,it is the nightlife hub of siem reap with bars and food
briefly explain is tonle sap near siem reap,yes it is the largest freshwater lake near siem reap
hey best time to visit temples?,early morning at sunrise is the best time
any idea where where is banteay srei?,it is a pink sandstone temple 35km from siem reap
i am curious about what is angkor thom specifically.,it was the last capital city of the khmer empire
where is koh ker please.,it is a pyramid temple north of siem reap
please tell me is beng mealea far right now.,it is about 60km east of siem reap city
briefly explain can i visit preah khan,yes preah khan is a large monastic complex in angkor
please tell me what is the terrace of elephants for me.,it is part of the ancient royal city of angkor thom
i want to know how do i get to angkor wat thanks.,"you can take a tuk tuk, car, or bicycle from siem reap city"
give me info on is angkor wat open today immediately.,angkor wat is open daily from 5 am to 5:30 pm
give me details on where is phnom penh if you can.,phnom penh is the capital city of cambodia
any idea where what to see in phnom penh please.,visit the royal palace and the national museum
info on where is the royal palace,it is located along the riverside in phnom penh
teach me about what is the silver pagoda please.,it is a temple in the royal palace with a silver floor
tell me where are the killing fields right now.,choeung ek is about 15 kilometers from phnom penh
could you explain what is s21 prison if you can.,tuol sleng is a former prison museum in phnom penh
search for where is wat phnom please.,it is a hilltop temple that gives the capital its name
looking for best place for shopping in phnom penh please.,central market and russian market are the best
i want to know where is the riverside,it is the sisowath quay area along the tonle sap river
could you explain how to get around phnom penh for me.,passapp or grab for tuk tuks is the easiest way
could you explain is phnom penh safe at night thank you.,it is generally safe but watch your belongings
teach me about where is the independence monument?,it is at the intersection of norodom and sihanouk boulevards
give me details on where are the best beaches thank you.,koh rong and koh rong samloem have the best beaches
tell me how to get to koh rong specifically.,you can take a speed ferry from sihanoukville
tell me what to do in kampot,visit pepper farms and take a river cruise
can you explain where is bokor mountain,it is a cool hill station near kampot city
give me info on is kep famous for food specifically.,yes kep is famous for fresh blue crab with pepper
looking for what is rabbit island please.,koh tonsay is a quiet island near kep
could you explain where is otres beach thanks.,it is a quieter beach area in sihanoukville
teach me about is sihanoukville good for islands immediately.,yes it is the main gateway to koh rong and koh rong samloem
i am curious about what is kampot pepper today.,it is world famous high quality pepper from cambodia
do you know can i swim in sihanoukville thank you.,"yes, victory beach and sokha beach are popular spots"
i am curious about where can i see dolphins right now.,you can see freshwater dolphins in kratie
looking for what to do in mondulkiri immediately.,visit elephant sanctuaries and busra waterfall
search for is mondulkiri cold if you can.,it is much cooler than the rest of cambodia
could you explain where is yeak laom lake thank you.,it is a volcanic lake in rattanakiri province
briefly explain what to see in kratie thanks.,the irrawaddy dolphins and kampi rapids
give me info on where is preah vihear temple thank you.,it is on a cliff in the north near the thai border
can you explain is sambor prei kuk old thank you.,yes it is a pre-angkorian site in kampong thom
i am curious about what is battambang known for today.,it is famous for the bamboo train and caves
can you explain where is the killing caves thanks.,they are located on phnom sampeau in battambang
give me details on can i see bats in battambang,yes millions of bats fly out of caves at sunset
search for what is phnom chi right now.,it is a mountain for hiking in kampong thom
any idea where where is kapi falls today.,it is a scenic spot in mondulkiri
give me details on best time to visit cambodia right now.,november to february is the best time
search for what currency is used specifically.,the currency is riel and us dollar
briefly explain do people speak english specifically.,many people speak basic english in tourist areas
i am curious about what food should i try please.,you should try amok and lok lak
hey is cambodia safe thanks.,it is generally safe for tourists
what about how to travel in cambodia,you can use tuk tuk or taxi
can you tell me do i need a visa today.,most tourists need a visa or an e-visa
tell me something about what is the water festival?,bon om touk is a festival with boat racing
hi when is khmer new year?,it is usually celebrated in mid-april
briefly explain is the water safe to drink?,it is better to drink bottled or filtered water
do you know how to say hello in khmer for me.,you say sarsday or chum reap suor
hey how to say thank you please.,you say orkun in khmer
teach me about is there grab in cambodia specifically.,yes grab and passapp are widely used
find what is the local beer?,angkor beer and cambodia beer are popular
do you know can i wear shorts in temples immediately.,you should cover your knees and shoulders
please tell me is cambodia expensive thanks.,it is very affordable for most travelers
do you know what is the rainy season please.,it runs from may to october
hey internet in cambodia specifically.,wifi is common and local sim cards are cheap
i am curious about what is the time zone for me.,cambodia is gmt plus seven
tell me where is angkor wat,angkor wat is in siem reap cambodia
do you know what is angkor wat thank you.,it is a famous temple in cambodia
do you know what to do in siem reap today.,you can visit temples and night market
give me info on where is bayon temple right now.,bayon temple is in the center of angkor thom
hey what is ta prohm right now.,it is the jungle temple with giant trees in siem reap
i want to know how much is angkor pass,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
can you tell me where to watch sunset in siem reap immediately.,phnom bakheng is the most popular spot for sunset
i am curious about what is pub street specifically.,it is the nightlife hub of siem reap with bars and food
i am curious about is tonle sap near siem reap specifically.,yes it is the largest freshwater lake near siem reap
can you explain best time to visit temples please.,early morning at sunrise is the best time
i am curious about where is banteay srei thanks.,it is a pink sandstone temple 35km from siem reap
i am curious about what is angkor thom thank you.,it was the last capital city of the khmer empire
what about where is koh ker today.,it is a pyramid temple north of siem reap
give me details on is beng mealea far if you can.,it is about 60km east of siem reap city
tell me can i visit preah khan?,yes preah khan is a large monastic complex in angkor
please tell me what is the terrace of elephants today.,it is part of the ancient royal city of angkor thom
i want to know how do i get to angkor wat,"you can take a tuk tuk, car, or bicycle from siem reap city"
could you explain is angkor wat open today specifically.,angkor wat is open daily from 5 am to 5:30 pm
give me info on where is phnom penh if you can.,phnom penh is the capital city of cambodia
give me info on what to see in phnom penh for me.,visit the royal palace and the national museum
briefly explain where is the royal palace thanks.,it is located along the riverside in phnom penh
do you know where are the killing fields please.,choeung ek is about 15 kilometers from phnom penh
teach me about what is s21 prison,tuol sleng is a former prison museum in phnom penh
i am curious about where is wat phnom thank you.,it is a hilltop temple that gives the capital its name
what about best place for shopping in phnom penh please.,central market and russian market are the best
could you explain where is the riverside,it is the sisowath quay area along the tonle sap river
search for how to get around phnom penh thanks.,passapp or grab for tuk tuks is the easiest way
hi is phnom penh safe at night,it is generally safe but watch your belongings
please tell me where is the independence monument,it is at the intersection of norodom and sihanouk boulevards
i am curious about where are the best beaches right now.,koh rong and koh rong samloem have the best beaches
find how to get to koh rong thanks.,you can take a speed ferry from sihanoukville
any idea where what to do in kampot today.,visit pepper farms and take a river cruise
tell me something about where is bokor mountain right now.,it is a cool hill station near kampot city
find is kep famous for food today.,yes kep is famous for fresh blue crab with pepper
i am curious about what is rabbit island thanks.,koh tonsay is a quiet island near kep
what about where is otres beach if you can.,it is a quieter beach area in sihanoukville
hey is sihanoukville good for islands please.,yes it is the main gateway to koh rong and koh rong samloem
looking for what is kampot pepper today.,it is world famous high quality pepper from cambodia
hey can i swim in sihanoukville specifically.,"yes, victory beach and sokha beach are popular spots"
teach me about where can i see dolphins thank you.,you can see freshwater dolphins in kratie
can you explain what to do in mondulkiri thanks.,visit elephant sanctuaries and busra waterfall
i am curious about is mondulkiri cold immediately.,it is much cooler than the rest of cambodia
search for where is yeak laom lake for me.,it is a volcanic lake in rattanakiri province
search for what to see in kratie?,the irrawaddy dolphins and kampi rapids
search for where is preah vihear temple today.,it is on a cliff in the north near the thai border
is sambor prei kuk old right now.,yes it is a pre-angkorian site in kampong thom
hi what is battambang known for for me.,it is famous for the bamboo train and caves
could you explain where is the killing caves please.,they are located on phnom sampeau in battambang
can you explain can i see bats in battambang please.,yes millions of bats fly out of caves at sunset
give me details on what is phnom chi specifically.,it is a mountain for hiking in kampong thom
hi where is kapi falls today.,it is a scenic spot in mondulkiri
hi best time to visit cambodia specifically.,november to february is the best time
find what currency is used?,the currency is riel and us dollar
any idea where do people speak english please.,many people speak basic english in tourist areas
info on what food should i try immediately.,you should try amok and lok lak
can you tell me is cambodia safe if you can.,it is generally safe for tourists
i want to know how to travel in cambodia?,you can use tuk tuk or taxi
looking for do i need a visa?,most tourists need a visa or an e-visa
can you tell me what is the water festival please.,bon om touk is a festival with boat racing
when is khmer new year today.,it is usually celebrated in mid-april
can you explain is the water safe to drink,it is better to drink bottled or filtered water
teach me about how to say hello in khmer if you can.,you say sarsday or chum reap suor
tell me something about how to say thank you thank you.,you say orkun in khmer
find is there grab in cambodia thanks.,yes grab and passapp are widely used
can you explain what is the local beer today.,angkor beer and cambodia beer are popular
can you explain can i wear shorts in temples,you should cover your knees and shoulders
what about is cambodia expensive right now.,it is very affordable for most travelers
could you explain what is the rainy season for me.,it runs from may to october
give me info on internet in cambodia thanks.,wifi is common and local sim cards are cheap
tell me what is the time zone?,cambodia is gmt plus seven
tell me where is angkor wat right now.,angkor wat is in siem reap cambodia
i want to know what is angkor wat today.,it is a famous temple in cambodia
hey what to do in siem reap please.,you can visit temples and night market
do you know where is bayon temple if you can.,bayon temple is in the center of angkor thom
what about what is ta prohm specifically.,it is the jungle temple with giant trees in siem reap
hey how much is angkor pass today.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
give me info on where to watch sunset in siem reap please.,phnom bakheng is the most popular spot for sunset
can you explain what is pub street specifically.,it is the nightlife hub of siem reap with bars and food
give me info on is tonle sap near siem reap please.,yes it is the largest freshwater lake near siem reap
any idea where best time to visit temples today.,early morning at sunrise is the best time
i want to know where is banteay srei specifically.,it is a pink sandstone temple 35km from siem reap
can you explain what is angkor thom specifically.,it was the last capital city of the khmer empire
search for where is koh ker if you can.,it is a pyramid temple north of siem reap
search for is beng mealea far specifically.,it is about 60km east of siem reap city
do you know can i visit preah khan immediately.,yes preah khan is a large monastic complex in angkor
search for what is the terrace of elephants for me.,it is part of the ancient royal city of angkor thom
search for how do i get to angkor wat right now.,"you can take a tuk tuk, car, or bicycle from siem reap city"
find is angkor wat open today thank you.,angkor wat is open daily from 5 am to 5:30 pm
i am curious about where is phnom penh please.,phnom penh is the capital city of cambodia
find what to see in phnom penh today.,visit the royal palace and the national museum
hey where is the royal palace specifically.,it is located along the riverside in phnom penh
do you know what is the silver pagoda,it is a temple in the royal palace with a silver floor
i want to know where are the killing fields if you can.,choeung ek is about 15 kilometers from phnom penh
hey what is s21 prison immediately.,tuol sleng is a former prison museum in phnom penh
teach me about where is wat phnom right now.,it is a hilltop temple that gives the capital its name
could you explain best place for shopping in phnom penh thanks.,central market and russian market are the best
i want to know where is the riverside please.,it is the sisowath quay area along the tonle sap river
give me info on how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
do you know is phnom penh safe at night thank you.,it is generally safe but watch your belongings
please tell me where is the independence monument immediately.,it is at the intersection of norodom and sihanouk boulevards
search for where are the best beaches if you can.,koh rong and koh rong samloem have the best beaches
do you know how to get to koh rong thank you.,you can take a speed ferry from sihanoukville
can you tell me what to do in kampot thank you.,visit pepper farms and take a river cruise
could you explain where is bokor mountain please.,it is a cool hill station near kampot city
briefly explain is kep famous for food for me.,yes kep is famous for fresh blue crab with pepper
i want to know what is rabbit island today.,koh tonsay is a quiet island near kep
please tell me where is otres beach thank you.,it is a quieter beach area in sihanoukville
any idea where is sihanoukville good for islands today.,yes it is the main gateway to koh rong and koh rong samloem
give me details on what is kampot pepper specifically.,it is world famous high quality pepper from cambodia
looking for can i swim in sihanoukville if you can.,"yes, victory beach and sokha beach are popular spots"
looking for where can i see dolphins for me.,you can see freshwater dolphins in kratie
tell me something about what to do in mondulkiri today.,visit elephant sanctuaries and busra waterfall
please tell me is mondulkiri cold specifically.,it is much cooler than the rest of cambodia
can you tell me where is yeak laom lake for me.,it is a volcanic lake in rattanakiri province
looking for what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
briefly explain where is preah vihear temple?,it is on a cliff in the north near the thai border
i am curious about is sambor prei kuk old today.,yes it is a pre-angkorian site in kampong thom
can you explain what is battambang known for thanks.,it is famous for the bamboo train and caves
where is the killing caves thank you.,they are located on phnom sampeau in battambang
hi can i see bats in battambang immediately.,yes millions of bats fly out of caves at sunset
hi what is phnom chi,it is a mountain for hiking in kampong thom
do you know where is kapi falls if you can.,it is a scenic spot in mondulkiri
looking for what currency is used thank you.,the currency is riel and us dollar
hi do people speak english please.,many people speak basic english in tourist areas
please tell me what food should i try?,you should try amok and lok lak
i am curious about is cambodia safe thank you.,it is generally safe for tourists
can you tell me how to travel in cambodia if you can.,you can use tuk tuk or taxi
i am curious about do i need a visa?,most tourists need a visa or an e-visa
tell me what is the water festival please.,bon om touk is a festival with boat racing
please tell me when is khmer new year thanks.,it is usually celebrated in mid-april
is the water safe to drink if you can.,it is better to drink bottled or filtered water
info on how to say hello in khmer,you say sarsday or chum reap suor
i want to know how to say thank you immediately.,you say orkun in khmer
is there grab in cambodia,yes grab and passapp are widely used
hi what is the local beer,angkor beer and cambodia beer are popular
what about can i wear shorts in temples if you can.,you should cover your knees and shoulders
i am curious about is cambodia expensive specifically.,it is very affordable for most travelers
briefly explain what is the rainy season,it runs from may to october
find internet in cambodia thank you.,wifi is common and local sim cards are cheap
tell me something about what is the time zone immediately.,cambodia is gmt plus seven
tell me where is angkor wat thanks.,angkor wat is in siem reap cambodia
tell me what is angkor wat thank you.,it is a famous temple in cambodia
what to do in siem reap,you can visit temples and night market
info on where is bayon temple immediately.,bayon temple is in the center of angkor thom
what about what is ta prohm today.,it is the jungle temple with giant trees in siem reap
tell me something about how much is angkor pass for me.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
i want to know where to watch sunset in siem reap,phnom bakheng is the most popular spot for sunset
search for what is pub street today.,it is the nightlife hub of siem reap with bars and food
could you explain is tonle sap near siem reap right now.,yes it is the largest freshwater lake near siem reap
do you know best time to visit temples immediately.,early morning at sunrise is the best time
where is banteay srei immediately.,it is a pink sandstone temple 35km from siem reap
teach me about what is angkor thom if you can.,it was the last capital city of the khmer empire
could you explain where is koh ker right now.,it is a pyramid temple north of siem reap
please tell me is beng mealea far today.,it is about 60km east of siem reap city
hey can i visit preah khan please.,yes preah khan is a large monastic complex in angkor
can you explain what is the terrace of elephants,it is part of the ancient royal city of angkor thom
hey how do i get to angkor wat for me.,"you can take a tuk tuk, car, or bicycle from siem reap city"
find is angkor wat open today,angkor wat is open daily from 5 am to 5:30 pm
can you tell me where is phnom penh immediately.,phnom penh is the capital city of cambodia
briefly explain what to see in phnom penh thank you.,visit the royal palace and the national museum
hey where is the royal palace if you can.,it is located along the riverside in phnom penh
briefly explain what is the silver pagoda today.,it is a temple in the royal palace with a silver floor
looking for where are the killing fields today.,choeung ek is about 15 kilometers from phnom penh
could you explain what is s21 prison,tuol sleng is a former prison museum in phnom penh
could you explain where is wat phnom,it is a hilltop temple that gives the capital its name
find best place for shopping in phnom penh immediately.,central market and russian market are the best
any idea where where is the riverside today.,it is the sisowath quay area along the tonle sap river
how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
tell me something about is phnom penh safe at night please.,it is generally safe but watch your belongings
teach me about where is the independence monument,it is at the intersection of norodom and sihanouk boulevards
i want to know where are the best beaches for me.,koh rong and koh rong samloem have the best beaches
can you tell me how to get to koh rong for me.,you can take a speed ferry from sihanoukville
could you explain what to do in kampot for me.,visit pepper farms and take a river cruise
i am curious about where is bokor mountain if you can.,it is a cool hill station near kampot city
do you know is kep famous for food please.,yes kep is famous for fresh blue crab with pepper
info on where is otres beach for me.,it is a quieter beach area in sihanoukville
is sihanoukville good for islands,yes it is the main gateway to koh rong and koh rong samloem
any idea where what is kampot pepper thank you.,it is world famous high quality pepper from cambodia
tell me can i swim in sihanoukville,"yes, victory beach and sokha beach are popular spots"
looking for where can i see dolphins if you can.,you can see freshwater dolphins in kratie
any idea where what to do in mondulkiri thanks.,visit elephant sanctuaries and busra waterfall
info on is mondulkiri cold right now.,it is much cooler than the rest of cambodia
any idea where where is yeak laom lake if you can.,it is a volcanic lake in rattanakiri province
can you tell me what to see in kratie thanks.,the irrawaddy dolphins and kampi rapids
info on where is preah vihear temple,it is on a cliff in the north near the thai border
find is sambor prei kuk old if you can.,yes it is a pre-angkorian site in kampong thom
what is battambang known for specifically.,it is famous for the bamboo train and caves
hey where is the killing caves immediately.,they are located on phnom sampeau in battambang
do you know can i see bats in battambang please.,yes millions of bats fly out of caves at sunset
any idea where what is phnom chi thanks.,it is a mountain for hiking in kampong thom
tell me where is kapi falls specifically.,it is a scenic spot in mondulkiri
please tell me best time to visit cambodia?,november to february is the best time
what about what currency is used thanks.,the currency is riel and us dollar
any idea where what food should i try for me.,you should try amok and lok lak
tell me is cambodia safe immediately.,it is generally safe for tourists
search for how to travel in cambodia today.,you can use tuk tuk or taxi
i want to know do i need a visa immediately.,most tourists need a visa or an e-visa
do you know what is the water festival specifically.,bon om touk is a festival with boat racing
hey when is khmer new year immediately.,it is usually celebrated in mid-april
search for is the water safe to drink right now.,it is better to drink bottled or filtered water
do you know how to say hello in khmer please.,you say sarsday or chum reap suor
i am curious about how to say thank you thanks.,you say orkun in khmer
i am curious about is there grab in cambodia thanks.,yes grab and passapp are widely used
please tell me what is the local beer right now.,angkor beer and cambodia beer are popular
tell me can i wear shorts in temples specifically.,you should cover your knees and shoulders
search for is cambodia expensive specifically.,it is very affordable for most travelers
search for what is the rainy season,it runs from may to october
could you explain internet in cambodia thanks.,wifi is common and local sim cards are cheap
what is the time zone today.,cambodia is gmt plus seven
can you explain where is angkor wat immediately.,angkor wat is in siem reap cambodia
i want to know what is angkor wat right now.,it is a famous temple in cambodia
i am curious about what to do in siem reap please.,you can visit temples and night market
tell me where is bayon temple?,bayon temple is in the center of angkor thom
search for what is ta prohm right now.,it is the jungle temple with giant trees in siem reap
how much is angkor pass for me.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
tell me where to watch sunset in siem reap right now.,phnom bakheng is the most popular spot for sunset
give me info on what is pub street if you can.,it is the nightlife hub of siem reap with bars and food
teach me about is tonle sap near siem reap?,yes it is the largest freshwater lake near siem reap
find best time to visit temples immediately.,early morning at sunrise is the best time
any idea where where is banteay srei today.,it is a pink sandstone temple 35km from siem reap
teach me about what is angkor thom thanks.,it was the last capital city of the khmer empire
give me info on where is koh ker immediately.,it is a pyramid temple north of siem reap
looking for is beng mealea far?,it is about 60km east of siem reap city
hey can i visit preah khan for me.,yes preah khan is a large monastic complex in angkor
could you explain what is the terrace of elephants right now.,it is part of the ancient royal city of angkor thom
info on how do i get to angkor wat thanks.,"you can take a tuk tuk, car, or bicycle from siem reap city"
hey is angkor wat open today if you can.,angkor wat is open daily from 5 am to 5:30 pm
search for where is phnom penh immediately.,phnom penh is the capital city of cambodia
please tell me what to see in phnom penh thanks.,visit the royal palace and the national museum
do you know where is the royal palace today.,it is located along the riverside in phnom penh
i want to know what is the silver pagoda,it is a temple in the royal palace with a silver floor
tell me something about where are the killing fields specifically.,choeung ek is about 15 kilometers from phnom penh
looking for what is s21 prison thank you.,tuol sleng is a former prison museum in phnom penh
